Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
17 March 2003,  Germany ,   1 ,  0,
17 March 2003, Canada  , 8, 2,
17 March 2003, Singapore , 20, 0,
17 March 2003, Hong Kong Special Administrative Region of China , 95 , 1**,
17 March 2003, Switzerland, 2, 0,
17 March 2003, Thailand , 1 , 0,
17 March 2003, Viet Nam  , 40, 1,
18 March 2003,Germany,2,0,
18 March 2003,Canada,8,2,
18 March 2003,"China 
    +", , ,
18 March 2003,Singapore,"
    23",0,
18 March 2003,Hong Kong Special Administrative Region of China,123,1**,
18 March 2003,"
    Taiwan, China ","
    3",0,
18 March 2003,Thailand,1 ,0,
18 March 2003,Viet Nam, 57,1,
18 March 2003,Slovenia,1,"
    0",
18 March 2003,"
    United Kingdom",1,0,
19 March 2003,Canada,8,2,
19 March 2003,China+, , ,
19 March 2003,Germany,1,0,
19 March 2003,Hong Kong Special Administrative Region of China,150,5**,
19 March 2003,Singapore,31,0,
19 March 2003, Slovenia,1,0,
19 March 2003,Spain,1 ,0,
19 March 2003,"Taiwan, China",3,0,
19 March 2003,Thailand,1,0,
19 March 2003,United Kingdom,1,0,
19 March 2003,United States,11,0,
19 March 2003,Viet Nam,56,2,
20 March 2003,Canada ,"
9
","
2
",
20 March 2003,China +,"
 
","
 
",
20 March 2003,Germany ,"
1
","
0
",
20 March 2003,Hong Kong Special Administrative Region of China ,"
173
","
6**
",
20 March 2003,Singapore ,"
34
","
0
",
20 March 2003,Slovenia ,"
1
","
0
",
20 March 2003,Spain ,"
1
","
0
",
20 March 2003,Switzerland ,"
7
","
0
",
20 March 2003,"Taiwan, China ","
4
","
0
",
20 March 2003,Thailand ,"
1
","
0
",
20 March 2003,United Kingdom ,"
2
","
0
",
20 March 2003,United States ,"
11
","
0
",
20 March 2003,Viet Nam ,"
62
","
2
",
21 March 2003,Canada , 9, 2,
21 March 2003,China +,  ,  ,
21 March 2003,Germany , 1, 0,
21 March 2003,Hong Kong Special Administrative Region of China , 203, 6**,
21 March 2003,Italy , 1, 0,
21 March 2003,Republic of Ireland , 1, 0,
21 March 2003,Singapore , 39, 0,
21 March 2003,Slovenia , 1, 0,
21 March 2003,Spain , 1, 0,
21 March 2003,Switzerland , 7, 0,
21 March 2003,"Taiwan, China ", 6, 0,
21 March 2003,Thailand , 4, 0,
21 March 2003,United Kingdom , 2, 0,
21 March 2003,United States , 13, 0,
21 March 2003,Viet Nam , 62, 2,
22 March 2003,Canada , 9, 2,
22 March 2003,China + ,  ,  ,
22 March 2003,Germany , 2, 0,
22 March 2003,Hong Kong Special Administrative Region of China , 222, 7**,
22 March 2003,Italy , 2, 0,
22 March 2003,Republic of Ireland , 1, 0,
22 March 2003,Singapore , 44, 0,
22 March 2003,Slovenia , 1, 0,
22 March 2003,Spain , 1, 0,
22 March 2003,Switzerland , 7, 0,
22 March 2003,"Taiwan, China ", 6, 0,
22 March 2003,Thailand , 4, 0,
22 March 2003,United Kingdom , 2, 0,
22 March 2003,United States , 22, 0,
22 March 2003,Viet Nam , 63, 2,
24 March 2003,Canada , 11, 3,
24 March 2003,China + ,  ,  ,
24 March 2003,France , 1, 0,
24 March 2003,Germany , 4, 0,
24 March 2003,Hong Kong Special Administrative Region of China , 260, 10**,
24 March 2003,Italy , 2, 0,
24 March 2003,Republic of Ireland , 1, 0,
24 March 2003,Singapore , 65, 0,
24 March 2003,Spain , 1, 0,
24 March 2003,Switzerland , 2, 0,
24 March 2003,"Taiwan, China ", 6, 0,
24 March 2003,Thailand , 5, 0,
24 March 2003,United Kingdom , 3, 0,
24 March 2003,United States , 37 §, 0,
24 March 2003,Viet Nam , 58, 4,
25 March 2003,Canada , 11, 3,
25 March 2003,China + ,  ,  ,
25 March 2003,France , 1, 0,
25 March 2003,Germany , 4, 0,
25 March 2003,Hong Kong Special Administrative Region of China , 286, 10**,
25 March 2003,Italy , 2, 0,
25 March 2003,Republic of Ireland , 1, 0,
25 March 2003,Singapore , 69, 0,
25 March 2003,Switzerland , 2, 0,
25 March 2003,"Taiwan, China ", 6, 0,
25 March 2003,Thailand , 5, 0,
25 March 2003,United Kingdom , 3, 0,
25 March 2003,United States , 39 §, 0,
25 March 2003,Viet Nam , 58, 4,
26 March 2003,Canada , 19, 3,
26 March 2003,"China, Guangdong Province+  ",792,31,
26 March 2003,"China, Hong Kong Special Administrative Region  ", 316, 10**,
26 March 2003,"China, Taiwan ", 6, 0,
26 March 2003,France , 1, 0,
26 March 2003,Germany , 4, 0,
26 March 2003,Italy , 3, 0,
26 March 2003,Republic of Ireland , 2, 0,
26 March 2003,Singapore , 74, 1,
26 March 2003,Switzerland , 2, 0,
26 March 2003,Thailand , 3, 0,
26 March 2003,United Kingdom , 3, 0,
26 March 2003,United States , 40 §, 0,
26 March 2003,Viet Nam , 58, 4,
27 March 2003,Canada , 28, 3,
27 March 2003,China +  ,806,34,
27 March 2003,"China, Hong Kong Special Administrative Region  ", 367, 10**,
27 March 2003,"China, Taiwan ", 6, 0,
27 March 2003,France , 1, 0,
27 March 2003,Germany , 4, 0,
27 March 2003,Italy , 2, 0,
27 March 2003,Republic of Ireland , 2, 0,
27 March 2003,Romania , 3, 0,
27 March 2003,Singapore , 78, 2,
27 March 2003,Switzerland , 2, 0,
27 March 2003,Thailand , 3, 0,
27 March 2003,United Kingdom , 3, 0,
27 March 2003,United States , 45 §, 0,
27 March 2003,Viet Nam , 58, 4,
28 March 2003,Canada ,  29, 3,
28 March 2003,China3  ,806,34,
28 March 2003,"China, Hong Kong Special Administrative Region  ", 425,  10*,
28 March 2003,"China, Taiwan ",  10, 0,
28 March 2003,France , 1, 0,
28 March 2003,Germany , 4, 0,
28 March 2003,Italy , 2, 0,
28 March 2003,Republic of Ireland , 2, 0,
28 March 2003,Romania , 3, 0,
28 March 2003,Singapore ,  86, 2,
28 March 2003,Switzerland , 2, 0,
28 March 2003,Thailand , 3, 0,
28 March 2003,United Kingdom , 3, 0,
28 March 2003,United States , 51 §, 0,
28 March 2003,Viet Nam , 58, 4,
29 March 2003,Canada ,  37, 3,
29 March 2003,China3  ,806,34,
29 March 2003,"China, Hong Kong Special Administrative Region  ", 470,  10*,
29 March 2003,"China, Taiwan ",  10, 0,
29 March 2003,France , 1, 0,
29 March 2003,Germany , 4, 0,
29 March 2003,Italy , 2, 0,
29 March 2003,Republic of Ireland , 2, 0,
29 March 2003,Romania , 3, 0,
29 March 2003,Singapore ,  89, 2,
29 March 2003,Switzerland , 3, 0,
29 March 2003,Thailand , 3, 1,
29 March 2003,United Kingdom  , 3, 0,
29 March 2003,United States , 59 §, 0,
29 March 2003,Viet Nam , 58, 4,
31 March 2003,Canada ,  44, 4,
31 March 2003,China3  ,806,34,
31 March 2003,"China, Hong Kong Special Administrative Region  ", 530,  13*,
31 March 2003,"China, Taiwan ",  10, 0,
31 March 2003,France , 1, 0,
31 March 2003,Germany , 5, 0,
31 March 2003,Italy , 2, 0,
31 March 2003,Republic of Ireland , 2, 0,
31 March 2003,Romania , 3, 0,
31 March 2003,Singapore ,  91, 2,
31 March 2003,Switzerland , 3, 0,
31 March 2003,Thailand , 5, 1,
31 March 2003,United Kingdom , 3, 0,
31 March 2003,United States , 59 §, 0,
31 March 2003,Viet Nam , 58, 4,
1 April 2003,Australia ,  1,  0,
1 April 2003,Belgium ,  1,  0,
1 April 2003,Canada ,  53, 4,
1 April 2003,China3  ,806,34,
1 April 2003,"China, Hong Kong Special Administrative Region  ", 685,  16*,
1 April 2003,"China, Taiwan ",  13, 0,
1 April 2003,France , 1, 0,
1 April 2003,Germany , 5, 0,
1 April 2003,Italy ,  3, 0,
1 April 2003,Republic of Ireland , 2, 0,
1 April 2003,Romania , 3, 0,
1 April 2003,Singapore ,  92, 3,
1 April 2003,Switzerland , 3, 0,
1 April 2003,Thailand ,  6, 1,
1 April 2003,United Kingdom , 3, 0,
1 April 2003,United States , 69 §, 0,
1 April 2003,Viet Nam , 58, 4,
2 April 2003,Australia , 1, 0,
2 April 2003,Belgium , 1, 0,
2 April 2003,Canada , 58, 6,
2 April 2003,China , 1190, 46,
2 April 2003,"China, Hong Kong Special Administrative Region", 708, 16*,
2 April 2003,"China, Taiwan", 13, 0,
2 April 2003,France , 1, 0,
2 April 2003,Germany , 5, 0,
2 April 2003,Italy , 3, 0,
2 April 2003,Republic of Ireland , 2, 0,
2 April 2003,Romania , 3, 0,
2 April 2003,Singapore , 95, 4,
2 April 2003,Spain , 1, 0,
2 April 2003,Switzerland , 2, 0,
2 April 2003,Thailand , 7, 2,
2 April 2003,United Kingdom , 3, 0,
2 April 2003,United States , 72§, 0,
2 April 2003,Viet Nam , 58, 4,
3 April 2003,Australia , 1, 0,
3 April 2003,Belgium , 1, 0,
3 April 2003,Brazil ,1,0,
3 April 2003,Canada , 62, 6,
3 April 2003,China , 1190, 46,
3 April 2003,"China, Hong Kong Special Administrative Region", 734, 17*,
3 April 2003,"China, Taiwan", 14, 0,
3 April 2003,France , 3, 0,
3 April 2003,Germany , 5, 0,
3 April 2003,Italy , 3, 0,
3 April 2003,Republic of Ireland , 1, 0,
3 April 2003,Romania , 1, 0,
3 April 2003,Singapore , 98, 4,
3 April 2003,Switzerland , 2, 0,
3 April 2003,Thailand , 7, 2,
3 April 2003,United Kingdom , 3, 0,
3 April 2003,United States , 85§, 0,
3 April 2003,Viet Nam , 59, 4,
4 April 2003,Australia , 1, 0,
4 April 2003,Belgium , 1, 0,
4 April 2003,Brazil ,1,0,
4 April 2003,Canada ,  69, 7,
4 April 2003,China,"
   1220", 49,
4 April 2003,"China, Hong Kong Special Administrative Region",  761, 17*,
4 April 2003,"China, Taiwan",  15, 0,
4 April 2003,France , 3, 0,
4 April 2003,Germany , 5, 0,
4 April 2003,Italy , 3, 0,
4 April 2003,Republic of Ireland , 1, 0,
4 April 2003,Romania , 1, 0,
4 April 2003,Singapore , 100,  5,
4 April 2003,Spain, 1, 0,
4 April 2003,Switzerland , 2, 0,
4 April 2003,Thailand , 7, 2,
4 April 2003,United Kingdom , 3, 0,
4 April 2003,United States ,  100§, 0,
4 April 2003,Viet Nam , 59, 4,
5 April 2003,Australia , 1, 0,
5 April 2003,Belgium , 1, 0,
5 April 2003,Brazil , 1, 0,
5 April 2003,Canada , 74, 7,
5 April 2003,China , 1220, 49,
5 April 2003,"China, Hong Kong Special Administrative Region", 800, 20*,
5 April 2003,"China, Taiwan", 17, 0,
5 April 2003,France , 3, 0,
5 April 2003,Germany , 5, 0,
5 April 2003,Italy , 3, 0,
5 April 2003,Malaysia , 1, 1,
5 April 2003,Republic of Ireland , 1, 0,
5 April 2003,Romania , 1, 0,
5 April 2003,Singapore , 101, 6,
5 April 2003,Spain , 1, 0,
5 April 2003,Switzerland , 1, 0,
5 April 2003,Thailand , 7, 2,
5 April 2003,United Kingdom , 4, 0,
5 April 2003,United States , 115§, 0,
5 April 2003,Viet Nam , 59, 4,
7 April 2003,Australia , 1, 0,
7 April 2003,Brazil , 1, 0,
7 April 2003,Canada , 90, 9,
7 April 2003,China , 1268, 53,
7 April 2003,"China, Hong Kong Special Administrative Region", 883, 23*,
7 April 2003,"China, Taiwan", 21, 0,
7 April 2003,France , 3, 0,
7 April 2003,Germany , 5, 0,
7 April 2003,Italy , 3, 0,
7 April 2003,Malaysia , 1, 1,
7 April 2003,Republic of Ireland , 1, 0,
7 April 2003,Romania , 1, 0,
7 April 2003,Singapore , 106, 6,
7 April 2003,Spain , 1, 0,
7 April 2003,Switzerland , 1, 0,
7 April 2003,Thailand , 7, 2,
7 April 2003,United Kingdom , 5, 0,
7 April 2003,United States , 141§, 0,
7 April 2003,Viet Nam , 62, 4,
8 April 2003,Australia , 1, 0,
8 April 2003,Brazil , 1, 0,
8 April 2003,Canada ,  91, 10,
8 April 2003,China , 1279, 53,
8 April 2003,"China, Hong Kong Special Administrative Region",  928, 25*,
8 April 2003,"China, Taiwan",  19, 0,
8 April 2003,France ,  4, 0,
8 April 2003,Germany , 5, 0,
8 April 2003,Italy , 3, 0,
8 April 2003,Malaysia , 1, 1,
8 April 2003,Republic of Ireland , 1, 0,
8 April 2003,Romania , 1, 0,
8 April 2003,Singapore ,  113, 8,
8 April 2003,Spain , 1, 0,
8 April 2003,Switzerland , 1, 0,
8 April 2003,Thailand , 7, 2,
8 April 2003,United Kingdom , 5, 0,
8 April 2003,United States , 148§, 0,
8 April 2003,Viet Nam , 62, 4,
9 April 2003,Brazil , 1, 0,
9 April 2003,Canada ,  94, 10,
9 April 2003,China , 1280, 53,
9 April 2003,"China, Hong Kong Special Administrative Region",  970, 27*,
9 April 2003,"China, Taiwan",  19, 0,
9 April 2003,France ,  4, 0,
9 April 2003,Germany , 5, 0,
9 April 2003,Italy , 3, 0,
9 April 2003,Malaysia , 1, 1,
9 April 2003,Republic of Ireland , 1, 0,
9 April 2003,Romania , 1, 0,
9 April 2003,Singapore ,  118, 9,
9 April 2003,Spain , 1, 0,
9 April 2003,Switzerland , 1, 0,
9 April 2003,Thailand , 7, 2,
9 April 2003,United Kingdom , 5, 0,
9 April 2003,United States , 149, 0,
9 April 2003,Viet Nam , 62, 4,
10 April 2003,Brazil ,"
     2",0, 0
10 April 2003,Canada ," 
     97",10, 22
10 April 2003,China ,"
     1290",55, 1025
10 April 2003,"China, Hong Kong Special Administrative Region
    4",  998,30, 154
10 April 2003,"China, Taiwan",  19,0, 5
10 April 2003,France ,  4,0, 0
10 April 2003,Germany ,"
     6",0, 2
10 April 2003,Italy , 3,0, 1
10 April 2003,Kuwait, 1,0, 0
10 April 2003,Malaysia , 3,1, 0
10 April 2003,Republic of Ireland , 1,0, 1
10 April 2003,Romania , 1,0, not available
10 April 2003,Singapore ," 
     126",9, 75
10 April 2003,Spain , 1,0, 0
10 April 2003,Switzerland , 1,0, 1
10 April 2003,Thailand , 7,2, 5
10 April 2003,United Kingdom , 5,0, 3
10 April 2003,United States ,"
     154",0," not 
    available"
10 April 2003,Viet Nam , 62,4, 43
11 April 2003,Brazil , 2,0, 0
11 April 2003,Canada , 98,10,25
11 April 2003,China , 1309,58, 1037
11 April 2003,"China, Hong Kong Special Administrative Region 4", 1059,32, 169
11 April 2003,"China, Taiwan", 21,0, 6
11 April 2003,France , 5,0, 0
11 April 2003,Germany , 6,0, 4
11 April 2003,Italy , 3,0,2
11 April 2003,Japan,4,0,0
11 April 2003,Kuwait, 1,0, 0
11 April 2003,Malaysia , 4,1, 0
11 April 2003,Republic of Ireland , 1,0, 1
11 April 2003,Romania , 1,0, not available
11 April 2003,Singapore , 133,9, 77
11 April 2003,South Africa,1,0,0
11 April 2003,Spain , 1,0, 0
11 April 2003,Switzerland , 1,0, 1
11 April 2003,Thailand , 7,2, 5
11 April 2003,United Kingdom , 5,0, 3
11 April 2003,United States , 166,0, not available
11 April 2003,Viet Nam , 62,4, 43
12 April 2003,Brazil , 2,0, 0
12 April 2003,Canada , 101,10,26
12 April 2003,China , 1309,58, 1037
12 April 2003,"China, Hong Kong Special Administrative Region 4",1108,35, 215
12 April 2003,"China, Taiwan",23,0, 7
12 April 2003,France , 5,0,1
12 April 2003,Germany , 6,0, 4
12 April 2003,Italy , 3,0,2
12 April 2003,Japan,4,0,0
12 April 2003,Kuwait, 1,0, 0
12 April 2003,Malaysia , 4,1, 0
12 April 2003,Republic of Ireland , 1,0, 1
12 April 2003,Romania , 1,0, not available
12 April 2003,Singapore ,147,9, 77
12 April 2003,South Africa,1,0,0
12 April 2003,Spain , 1,0, 0
12 April 2003,Switzerland , 1,0, 1
12 April 2003,Thailand , 8,2, 5
12 April 2003,United Kingdom , 6,0, 3
12 April 2003,United States , 166,0, not available
12 April 2003,Viet Nam 5 , 62,4, 46
14 April 2003,Brazil , 2,0, 0
14 April 2003,Canada ,"
   100",13,"
  27"
14 April 2003,China ,"
     1418","
64", 1088
14 April 2003,"China, Hong Kong Special Administrative Region 4","
    1190","
47", 229
14 April 2003,"China, Taiwan",23,0, 7
14 April 2003,France , 5,0,1
14 April 2003,"
  Germany ", 6,0, 4
14 April 2003,Indonesia,"
     1",0,"
0"
14 April 2003,Italy , 3,0,2
14 April 2003,Kuwait, 1,0, 0
14 April 2003,Malaysia , 4,1, 0
14 April 2003,Philippines,"
     1","
0", 1
14 April 2003,Republic of Ireland , 1,0, 1
14 April 2003,Romania , 1,0, not available
14 April 2003,Singapore ,158,"
12", 84
14 April 2003,South Africa,1,0,0
14 April 2003,Spain , 1,0, 0
14 April 2003,Sweden, 1,0,"
     0"
14 April 2003,Switzerland , 1,0, 1
14 April 2003,Thailand , 8,2, 5
14 April 2003,United Kingdom , 6,0, 3
14 April 2003,United States ,"
     174",0, not available
14 April 2003,Viet Nam ,"
     63","
5", 46
15 April 2003,Brazil , 2,0, 0
15 April 2003,Canada ,  100,13, 27
15 April 2003,China ,  1418, 64, 1088
15 April 2003,"China, Hong Kong Special Administrative Region 5", 1232, 56, 243
15 April 2003,"China, Taiwan",23,0, 7
15 April 2003,France , 5,0,1
15 April 2003, Germany , 6,0, 4
15 April 2003,Indonesia,  1,0, 0
15 April 2003,Italy , 3,0,2
15 April 2003,Japan, 1,0, 0
15 April 2003,Kuwait, 1,0, 0
15 April 2003,Malaysia , 4,1, 0
15 April 2003,Philippines,  1, 0, 1
15 April 2003,Republic of Ireland , 1,0, 1
15 April 2003,Romania , 1,0,  1
15 April 2003,Singapore ,162, 13, 85
15 April 2003,South Africa,1,0,0
15 April 2003,Spain , 1,0, 0
15 April 2003,Sweden, 1,0,  0
15 April 2003,Switzerland , 1,0, 1
15 April 2003,Thailand , 8,2, 5
15 April 2003,United Kingdom , 6,0, 3
15 April 2003,United States ,  193,0, not available
15 April 2003,Viet Nam ,  63, 5, 46
16 April 2003,Brazil , 2,0, 0
16 April 2003,Canada ,  103,13, 37
16 April 2003,China ,  1432, 64, 1094
16 April 2003,"China, Hong Kong Special Administrative Region 5", 1268, 61, 257
16 April 2003,"China, Taiwan", 27,0,  10
16 April 2003,France , 5,0,1
16 April 2003, Germany , 6,0, 4
16 April 2003,Indonesia,  1,0, 0
16 April 2003,Italy , 3,0,2
16 April 2003,Japan, 1,0, 0
16 April 2003,Kuwait, 1,0, 0
16 April 2003,Malaysia ,  5,1, 0
16 April 2003,Philippines,  1, 0, 1
16 April 2003,Republic of Ireland , 1,0, 1
16 April 2003,Romania , 1,0,  1
16 April 2003,Singapore ,162, 13, 85
16 April 2003,South Africa,1,0,0
16 April 2003,Spain , 1,0, 0
16 April 2003,Sweden, 1,0,  0
16 April 2003,Switzerland , 1,0, 1
16 April 2003,Thailand , 8,2, 5
16 April 2003,United Kingdom , 6,0, 3
16 April 2003,United States ,  193,0, not available
16 April 2003,Viet Nam ,  63, 5, 46
17 April 2003,Australia , 3,0, 3
17 April 2003,Brazil , 2,0, 0
17 April 2003,Canada ,  126, 12, 46
17 April 2003,China ,  1457, 65, 1107
17 April 2003,"China, Hong Kong Special Administrative Region 5", 1297,  65, 272
17 April 2003,"China, Taiwan", 27,0,  10
17 April 2003,France , 5,0,1
17 April 2003, Germany , 6,0, 4
17 April 2003,India,  1,0, 0
17 April 2003,Indonesia,  1,0, 0
17 April 2003,Italy , 3,0,2
17 April 2003,Japan,  2,0, 0
17 April 2003,Kuwait, 1,0, 0
17 April 2003,Malaysia ,  5,1, 0
17 April 2003,Mongolia,  3,0,3
17 April 2003,Philippines,  1, 0, 1
17 April 2003,Republic of Ireland , 1,0, 1
17 April 2003,Romania , 1,0,  1
17 April 2003,Singapore ,167,  15, 91
17 April 2003,South Africa,1,0,0
17 April 2003,Spain , 1,0, 0
17 April 2003,Sweden, 1,0,  0
17 April 2003,Switzerland , 1,0, 1
17 April 2003,Thailand , 8,2, 5
17 April 2003,United Kingdom , 6,0, 3
17 April 2003,United States ,  199,0, not available
17 April 2003,Viet Nam ,  63, 5, 46
18 April 2003,Australia , 3,0, 3
18 April 2003,Brazil , 2,0, 0
18 April 2003,Canada ,132,12,54
18 April 2003,China , 1512,65,1140
18 April 2003,"China, Hong Kong Special Administrative Region 5",1358,81,363
18 April 2003,"China, Taiwan",29,0,17
18 April 2003,France , 5,0,1
18 April 2003,Germany , 6,0, 4
18 April 2003,India, 1,0,1
18 April 2003,Indonesia, 1,0,0
18 April 2003,Italy , 3,0,2
18 April 2003,Japan, 4,0, 0
18 April 2003,Kuwait, 1,0, 0
18 April 2003,Malaysia , 5,1, 0
18 April 2003,Mongolia, 3,0,3
18 April 2003,Philippines, 1,0, 1
18 April 2003,Republic of Ireland , 1,0, 1
18 April 2003,Romania , 1,0, 1
18 April 2003,Singapore ,177,16,100
18 April 2003,South Africa,1,0,0
18 April 2003,Spain , 1,0, 0
18 April 2003,Sweden,3,0, 0
18 April 2003,Switzerland , 1,0, 1
18 April 2003,Thailand , 7,2, 6
18 April 2003,United Kingdom , 6,0, 5
18 April 2003,United States ,220,0, not available
18 April 2003,Viet Nam , 63,5, 46
19 April 2003,Australia , 3,0, 3
19 April 2003,Brazil , 2,0, 0
19 April 2003,Canada ,132,12,54
19 April 2003,China , 1512,65,1140
19 April 2003,"China, Hong Kong Special Administrative Region 5",1358,81,363
19 April 2003,"China, Taiwan",29,0,17
19 April 2003,France , 5,0,1
19 April 2003,Germany , 6,0, 4
19 April 2003,India, 1,0,1
19 April 2003,Indonesia, 1,0,0
19 April 2003,Italy , 3,0,2
19 April 2003,Japan, 4,0, 0
19 April 2003,Kuwait, 1,0, 0
19 April 2003,Malaysia , 5,1, 0
19 April 2003,Mongolia, 3,0,3
19 April 2003,Philippines, 1,0, 1
19 April 2003,Republic of Ireland , 1,0, 1
19 April 2003,Romania , 1,0, 1
19 April 2003,Singapore ,177,16,100
19 April 2003,South Africa,1,0,0
19 April 2003,Spain , 1,0, 0
19 April 2003,Sweden,3,0, 0
19 April 2003,Switzerland , 1,0, 1
19 April 2003,Thailand , 7,2, 6
19 April 2003,United Kingdom , 6,0, 5
19 April 2003,United States ,220,0, not available
19 April 2003,Viet Nam , 63,5, 46
21 April 2003,Australia , 3,0, 3
21 April 2003,Brazil , 2,0, 0
21 April 2003,Canada ,132,12,54
21 April 2003,China , 1959,"
86",1187
21 April 2003,"China, Hong Kong Special Administrative Region4",1402,"
94",436
21 April 2003,"China, Taiwan",29,0,17
21 April 2003,France , 5,0,1
21 April 2003,Germany , 6,0, 4
21 April 2003,India, 1,0,1
21 April 2003,Indonesia, 1,0,0
21 April 2003,Italy , 3,0,2
21 April 2003,Japan,"
     5",0, 0
21 April 2003,Kuwait, 1,0, 1
21 April 2003,Malaysia ,"
     6",1, 0
21 April 2003,Mongolia, 3,0,3
21 April 2003,Philippines,"
    2","
    1", 1
21 April 2003,Republic of Ireland , 1,0, 1
21 April 2003,Romania , 1,0, 1
21 April 2003,Singapore ,"
    178",16,104
21 April 2003,South Africa,1,0,0
21 April 2003,Spain , 1,0, 0
21 April 2003,Sweden,3,0, 0
21 April 2003,Switzerland , 1,0, 1
21 April 2003,Thailand , 7,2, 5
21 April 2003,United Kingdom , 6,0, 5
21 April 2003,United States5,"
    39",0, not available
21 April 2003,Viet Nam , 63,5, 46
22 April 2003,Australia , 3,0, 3
22 April 2003,Brazil , 2,0, 0
22 April 2003,Canada , 139,13,65
22 April 2003,China ,  2001, 92,1201
22 April 2003,"China, Hong Kong Special Administrative Region4", 1434, 99,461
22 April 2003,"China, Taiwan",29,0,21
22 April 2003,France , 5,0,1
22 April 2003,Germany ,  7,0, 6
22 April 2003,India, 1,0,1
22 April 2003,Indonesia, 1,0,0
22 April 2003,Italy , 3,0,2
22 April 2003,Japan,  2,0, 0
22 April 2003,Kuwait, 1,0, 1
22 April 2003,Malaysia ,  6,1, 0
22 April 2003,Mongolia, 3,0,3
22 April 2003,Philippines, 2, 1, 1
22 April 2003,Republic of Ireland , 1,0, 1
22 April 2003,Romania , 1,0, 1
22 April 2003,Singapore , 186, 16,110
22 April 2003,South Africa,1,0,0
22 April 2003,Spain , 1,0, 0
22 April 2003,Sweden,3,0, 0
22 April 2003,Switzerland , 1,0, 1
22 April 2003,Thailand , 7,2, 5
